Bird,State,Count,Score
Spinus,CA-NS,128853,0.011352
Myiozetetes,MX-CHP,10612,0.011350
Branta,CA-AB,189411,0.011343
Poecile,US-WA,845174,0.011332
Leucolia,MX-PUE,1056,0.011330
Polioptila,MX-SON,8411,0.011319
Bubulcus,MX-GUA,1697,0.011319
Icterus,MX-MEX,4060,0.011312
Cynanthus,MX-SON,6122,0.011303
Crotophaga,MX-GRO,1275,0.011286
Streptopelia,US-ID,65286,0.011285
Eumomota,MX-YUC,10474,0.011279
Tyrannus,US-ND,36519,0.011275
Coragyps,MX-ROO,13111,0.011258
Dives,MX-CAM,2654,0.011248
Pica,CA-NT,3065,0.011243
Mimus,US-OK,65170,0.011238
Melozone,US-CA,129054,0.011205
Mimus,US-AR,68963,0.011201
Poecile,CA-BC,688984,0.011193
Coragyps,MX-JAL,12254,0.011192
Melozone,MX-QUE,972,0.011184
Haemorhous,US-CO,467084,0.011175
Saltator,MX-ROO,10019,0.011172
Columbina,MX-COA,972,0.011171
Pelecanus,US-FL,493180,0.011171
Egretta,MX-VER,25582,0.011165
Saltator,MX-COL,1930,0.011157
Turdus,US-WY,70656,0.011156
Ortygornis,US-HI,16235,0.011150
Sayornis,MX-HID,854,0.011132
Sporophila,MX-PUE,1040,0.011118
Streptopelia,MX-ROO,12852,0.011117
Sitta,US-GA,349899,0.011112
Pyrocephalus,MX-MOR,1963,0.011099
Dryobates,CA-QC,933535,0.011098
Chaetura,US-DC,24475,0.011084
Myiarchus,MX-CAM,3496,0.011072
Coragyps,MX-YUC,13504,0.011063
Leucolia,MX-QUE,883,0.011037
Fulica,US-HI,22293,0.011034
Basileuterus,MX-TAM,1939,0.011025
Rupornis,MX-VER,16733,0.011019
Bucephala,US-WA,412251,0.011007
Bubulcus,MX-HID,543,0.010996
Melozone,MX-BCN,8011,0.010995
Setophaga,US-AL,205713,0.010995
Coragyps,MX-DUR,1797,0.010989
Arenaria,CA-NU,1913,0.010982
Saltator,MX-VER,16748,0.010974
Basileuterus,MX-OAX,9485,0.010972
Sialia,US-SC,153302,0.010955
Piranga,MX-CHP,13642,0.010947
Leiothlypis,MX-OAX,13444,0.010936
Pipilo,US-WV,51062,0.010935
Larus,US-DE,144722,0.010929
Tyrannus,MX-TAM,2974,0.010928
Trogon,MX-GRO,1234,0.010923
Toxostoma,MX-QUE,1201,0.010911
Stercorarius,US-AK,52502,0.010903
Bubulcus,MX-MIC,2145,0.010893
Thryomanes,MX-HID,566,0.010868
Fregata,MX-SIN,2929,0.010813
Thryothorus,US-PA,557667,0.010812
Tringa,MX-BCS,9871,0.010800
Sitta,US-WI,557294,0.010793
Cardinalis,US-OH,791329,0.010783
Setophaga,US-SC,396109,0.010779
Melanerpes,US-KY,109288,0.010771
Melanerpes,US-TN,233234,0.010759
Egretta,MX-SIN,4363,0.010738
